                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7604,                 4.7651,                 1.1172,                0.00654,                0.11111,                0.01228,                0.00983,                 3.0221,                 4.4569,                 1.0973,              5.383e-05,              5.383e-05,              5.383e-05
                      1,                 2.6557,                 4.7073,                 1.0935,                0.00505,                0.11111,                0.11056,                0.08844,                  3.069,                 4.3499,                 1.1022,             0.00011421,             0.00011421,             0.00011421
                      2,                 2.6349,                 4.6121,                 1.0716,                  0.003,                0.11111,                0.11056,                 0.0995,                 2.8937,                 4.1169,                 1.0506,             0.00017337,             0.00017337,             0.00017337
                      3,                 2.7312,                 4.5179,                  1.073,                0.00629,                   0.12,                0.11308,                0.10012,                 2.9266,                 3.8448,                 1.0872,             0.00023131,             0.00023131,             0.00023131
                      4,                 2.7512,                 4.5241,                 1.0405,                0.00715,                0.13333,                0.11492,                0.10063,                 2.8175,                 3.5132,                 1.0447,             0.00028803,             0.00028803,             0.00028803
                      5,                 2.6363,                 4.3423,                 1.0318,                0.00715,                0.13333,                0.11492,                0.10063,                 2.8175,                 3.5132,                 1.0447,             0.00034354,             0.00034354,             0.00034354
                      6,                 2.4463,                 4.2664,                 1.0257,                0.59495,                0.13333,                0.06565,                0.04131,                 2.6553,                  3.246,                 1.0243,             0.00039783,             0.00039783,             0.00039783
                      7,                 2.5055,                 4.0785,                 1.0036,                0.59495,                0.13333,                0.06565,                0.04131,                 2.6553,                  3.246,                 1.0243,              0.0004509,              0.0004509,              0.0004509
                      8,                 2.5631,                 4.1775,                 1.0169,                0.59495,                0.13333,                0.06565,                0.04131,                 2.6553,                  3.246,                 1.0243,             0.00050275,             0.00050275,             0.00050275
                      9,                 2.6268,                 4.1542,                 1.0148,                  0.649,                0.11111,                0.11999,                0.08096,                  2.586,                  2.957,                0.99579,             0.00055338,             0.00055338,             0.00055338
                     10,                 2.5233,                 3.8452,                0.99535,                  0.649,                0.11111,                0.11999,                0.08096,                  2.586,                  2.957,                0.99579,              0.0006028,              0.0006028,              0.0006028
                     11,                 2.4981,                 3.8748,                 1.0309,                  0.649,                0.11111,                0.11999,                0.08096,                  2.586,                  2.957,                0.99579,             0.00065099,             0.00065099,             0.00065099
                     12,                 2.3115,                 3.8061,                0.97709,                  0.649,                0.11111,                0.11999,                0.08096,                  2.586,                  2.957,                0.99579,             0.00067764,             0.00067764,             0.00067764
