                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.85186,                 0.7039,                0.86808,                0.92765,                0.87345,                0.88444,                0.80943,                 0.6814,                  0.526,                0.85545,              5.383e-05,              5.383e-05,              5.383e-05
                      1,                0.79726,                 0.6795,                0.86528,                0.92351,                0.88218,                0.88444,                 0.8313,                0.67118,                0.52716,                0.84997,             0.00011421,             0.00011421,             0.00011421
                      2,                0.77198,                0.65357,                0.85527,                0.88842,                0.88692,                0.88444,                0.81028,                0.65236,                0.53459,                0.84532,             0.00017337,             0.00017337,             0.00017337
                      3,                 0.8645,                0.70165,                0.86657,                 0.8084,                0.88889,                0.88444,                0.79021,                0.64867,                0.55179,                 0.8448,             0.00023131,             0.00023131,             0.00023131
                      4,                0.92525,                0.74791,                0.87152,                 0.7433,                0.88889,                0.88444,                0.79128,                0.63248,                0.54171,                0.84386,             0.00028803,             0.00028803,             0.00028803
                      5,                0.79755,                0.70953,                0.87082,                 0.7433,                0.88889,                0.88444,                0.79128,                0.63248,                0.54171,                0.84386,             0.00034354,             0.00034354,             0.00034354
                      6,                 0.7938,                0.70432,                0.89221,                0.78764,                0.88889,                0.88444,                0.79102,                0.65929,                0.52259,                0.84766,             0.00039783,             0.00039783,             0.00039783
                      7,                0.83223,                0.70712,                0.88439,                0.78764,                0.88889,                0.88444,                0.79102,                0.65929,                0.52259,                0.84766,              0.0004509,              0.0004509,              0.0004509
                      8,                0.82748,                0.70141,                0.88149,                0.78764,                0.88889,                0.88444,                0.79102,                0.65929,                0.52259,                0.84766,             0.00050275,             0.00050275,             0.00050275
                      9,                0.83594,                0.70712,                0.87841,                0.94265,                0.86934,                0.88444,                0.76599,                0.73916,                0.55104,                0.86332,             0.00055338,             0.00055338,             0.00055338
                     10,                0.87804,                 0.7145,                0.90054,                0.94265,                0.86934,                0.88444,                0.76599,                0.73916,                0.55104,                0.86332,              0.0006028,              0.0006028,              0.0006028
                     11,                0.90949,                0.77426,                0.92454,                0.94265,                0.86934,                0.88444,                0.76599,                0.73916,                0.55104,                0.86332,             0.00065099,             0.00065099,             0.00065099
                     12,                0.80672,                0.72313,                0.92747,                0.94265,                0.86934,                0.88444,                0.76599,                0.73916,                0.55104,                0.86332,             0.00067764,             0.00067764,             0.00067764
                     13,                0.93886,                0.85993,                0.95119,                0.93732,                0.84761,                0.88444,                0.77632,                0.72831,                0.55504,                0.86209,             0.00067764,             0.00067764,             0.00067764
